id,classe,formato_cabeca,superficie_cabeca,cor_cabeca,MANCHA,odor,lamelas_grudadas,espacamento_lamelas,tamanho_lamela,cor_lamela,format_estipe,raiz_estipe,superficie_estipe_acima_anel,superficie_estipe_abaixo_anel,cor_estipe_acima_anel,cor_estipe_abaixo_anel,tipo_vel,cor_vel,numero_aneis,tipo_anel,cor_impressao_esporos,populacao,habitat
1,COMESTIVEL,CONVEXO,LISO,BRANCO,MANCHA,AMENDOA,LIVRE,AGLOMERADO,ESTREITAS,BRANCO,AFUNILADO,BULBOSO,LISO,LISO,BRANCO,BRANCO,PARTIAL,BRANCO,ONE,PENDENTE,ROXO,VARIOS,BOSQUE
2,COMESTIVEL,CONVEXO,LISO,BRANCO,MANCHA,AMENDOA,LIVRE,AGLOMERADO,ESTREITAS,BRANCO,AFUNILADO,BULBOSO,LISO,LISO,BRANCO,BRANCO,PARTIAL,BRANCO,ONE,PENDENTE,MARROM,VARIOS,BOSQUE
3,COMESTIVEL,CONVEXO,LISO,BRANCO,MANCHA,AMENDOA,LIVRE,AGLOMERADO,ESTREITAS,ROSA,AFUNILADO,BULBOSO,LISO,LISO,BRANCO,BRANCO,PARTIAL,BRANCO,ONE,PENDENTE,ROXO,VARIOS,BOSQUE
4,COMESTIVEL,CONVEXO,LISO,BRANCO,MANCHA,AMENDOA,LIVRE,AGLOMERADO,ESTREITAS,ROSA,AFUNILADO,BULBOSO,LISO,LISO,BRANCO,BRANCO,PARTIAL,BRANCO,ONE,PENDENTE,MARROM,VARIOS,BOSQUE
5,COMESTIVEL,CONVEXO,LISO,BRANCO,MANCHA,AMENDOA,LIVRE,AGLOMERADO,ESTREITAS,MARROM,AFUNILADO,BULBOSO,LISO,LISO,BRANCO,BRANCO,PARTIAL,BRANCO,ONE,PENDENTE,ROXO,VARIOS,BOSQUE
6,COMESTIVEL,CONVEXO,LISO,BRANCO,MANCHA,AMENDOA,LIVRE,AGLOMERADO,ESTREITAS,MARROM,AFUNILADO,BULBOSO,LISO,LISO,BRANCO,BRANCO,PARTIAL,BRANCO,ONE,PENDENTE,MARROM,VARIOS,BOSQUE
7,COMESTIVEL,CONVEXO,LISO,BRANCO,MANCHA,ANIS,LIVRE,AGLOMERADO,ESTREITAS,BRANCO,AFUNILADO,BULBOSO,LISO,LISO,BRANCO,BRANCO,PARTIAL,BRANCO,ONE,PENDENTE,ROXO,VARIOS,BOSQUE
8,COMESTIVEL,CONVEXO,LISO,BRANCO,MANCHA,ANIS,LIVRE,AGLOMERADO,ESTREITAS,BRANCO,AFUNILADO,BULBOSO,LISO,LISO,BRANCO,BRANCO,PARTIAL,BRANCO,ONE,PENDENTE,MARROM,VARIOS,BOSQUE
9,COMESTIVEL,CONVEXO,LISO,BRANCO,MANCHA,ANIS,LIVRE,AGLOMERADO,ESTREITAS,ROSA,AFUNILADO,BULBOSO,LISO,LISO,BRANCO,BRANCO,PARTIAL,BRANCO,ONE,PENDENTE,ROXO,VARIOS,BOSQUE
10,COMESTIVEL,CONVEXO,LISO,BRANCO,MANCHA,ANIS,LIVRE,AGLOMERADO,ESTREITAS,ROSA,AFUNILADO,BULBOSO,LISO,LISO,BRANCO,BRANCO,PARTIAL,BRANCO,ONE,PENDENTE,MARROM,VARIOS,BOSQUE
11,COMESTIVEL,CONVEXO,LISO,BRANCO,MANCHA,ANIS,LIVRE,AGLOMERADO,ESTREITAS,MARROM,AFUNILADO,BULBOSO,LISO,LISO,BRANCO,BRANCO,PARTIAL,BRANCO,ONE,PENDENTE,ROXO,VARIOS,BOSQUE
12,COMESTIVEL,CONVEXO,LISO,BRANCO,MANCHA,ANIS,LIVRE,AGLOMERADO,ESTREITAS,MARROM,AFUNILADO,BULBOSO,LISO,LISO,BRANCO,BRANCO,PARTIAL,BRANCO,ONE,PENDENTE,MARROM,VARIOS,BOSQUE
13,COMESTIVEL,CONVEXO,LISO,AMARELO,MANCHA,AMENDOA,LIVRE,AGLOMERADO,ESTREITAS,BRANCO,AFUNILADO,BULBOSO,LISO,LISO,BRANCO,BRANCO,PARTIAL,BRANCO,ONE,PENDENTE,ROXO,VARIOS,BOSQUE
14,COMESTIVEL,CONVEXO,LISO,AMARELO,MANCHA,AMENDOA,LIVRE,AGLOMERADO,ESTREITAS,BRANCO,AFUNILADO,BULBOSO,LISO,LISO,BRANCO,BRANCO,PARTIAL,BRANCO,ONE,PENDENTE,MARROM,VARIOS,BOSQUE
15,COMESTIVEL,CONVEXO,LISO,AMARELO,MANCHA,AMENDOA,LIVRE,AGLOMERADO,ESTREITAS,ROSA,AFUNILADO,BULBOSO,LISO,LISO,BRANCO,BRANCO,PARTIAL,BRANCO,ONE,PENDENTE,ROXO,VARIOS,BOSQUE
16,COMESTIVEL,CONVEXO,LISO,AMARELO,MANCHA,AMENDOA,LIVRE,AGLOMERADO,ESTREITAS,ROSA,AFUNILADO,BULBOSO,LISO,LISO,BRANCO,BRANCO,PARTIAL,BRANCO,ONE,PENDENTE,MARROM,VARIOS,BOSQUE
17,COMESTIVEL,CONVEXO,LISO,AMARELO,MANCHA,AMENDOA,LIVRE,AGLOMERADO,ESTREITAS,MARROM,AFUNILADO,BULBOSO,LISO,LISO,BRANCO,BRANCO,PARTIAL,BRANCO,ONE,PENDENTE,ROXO,VARIOS,BOSQUE
18,COMESTIVEL,CONVEXO,LISO,AMARELO,MANCHA,AMENDOA,LIVRE,AGLOMERADO,ESTREITAS,MARROM,AFUNILADO,BULBOSO,LISO,LISO,BRANCO,BRANCO,PARTIAL,BRANCO,ONE,PENDENTE,MARROM,VARIOS,BOSQUE
19,COMESTIVEL,CONVEXO,LISO,AMARELO,MANCHA,ANIS,LIVRE,AGLOMERADO,ESTREITAS,BRANCO,AFUNILADO,BULBOSO,LISO,LISO,BRANCO,BRANCO,PARTIAL,BRANCO,ONE,PENDENTE,ROXO,VARIOS,BOSQUE
20,COMESTIVEL,CONVEXO,LISO,AMARELO,MANCHA,ANIS,LIVRE,AGLOMERADO,ESTREITAS,BRANCO,AFUNILADO,BULBOSO,LISO,LISO,BRANCO,BRANCO,PARTIAL,BRANCO,ONE,PENDENTE,MARROM,VARIOS,BOSQUE
21,COMESTIVEL,CONVEXO,LISO,AMARELO,MANCHA,ANIS,LIVRE,AGLOMERADO,ESTREITAS,ROSA,AFUNILADO,BULBOSO,LISO,LISO,BRANCO,BRANCO,PARTIAL,BRANCO,ONE,PENDENTE,ROXO,VARIOS,BOSQUE
